,Exit Trade Id,Column,Size,Entry Order Id,Entry Index,Avg Entry Price,Entry Fees,Exit Order Id,Exit Index,Avg Exit Price,Exit Fees,PnL,Return,Direction,Status,Position Id
101,101,0,0.029017713043031676,202,2020-09-11 10:00:00,10285.4515683105,0.0,203,2020-09-11 17:00:00,10296.977983867962,0.0,-0.33447021906118835,-0.0011206523584220262,Short,Closed,101
102,102,0,0.028747207972413955,204,2020-09-12 04:00:00,10358.965711552744,0.0,205,2020-09-12 09:00:00,10354.253090840924,0.0,-0.13547468769780835,-0.00045493158709510495,Long,Closed,102
103,103,0,0.028960600228336467,206,2020-09-14 00:00:00,10273.281284502098,0.0,207,2020-09-14 06:00:00,10359.767092016426,0.0,-2.504680896847276,-0.00841851839925732,Short,Closed,103
104,104,0,0.027300686571236514,208,2020-09-15 01:00:00,10714.42030429395,0.0,209,2020-09-15 10:00:00,10847.267780522994,0.0,3.626827310308954,0.012398942029164629,Long,Closed,104
105,105,0,0.027614102279389482,210,2020-09-28 08:00:00,10855.492679346557,0.0,211,2020-09-28 15:00:00,10901.862036025455,0.0,1.2804481579606204,0.00427151102659033,Long,Closed,105
106,106,0,0.02829112271491166,212,2020-10-05 07:00:00,10686.234848403925,0.0,213,2020-10-05 12:00:00,10695.56714213612,0.0,0.2640210671891623,0.0008733004528334885,Long,Closed,106
107,107,0,0.020247638229556577,214,2020-11-08 03:00:00,14957.478998654138,0.0,215,2020-11-08 11:00:00,15171.047488713815,0.0,-4.324257523961023,-0.014278374723367179,Short,Closed,107
108,108,0,0.01725078742573212,216,2020-11-26 13:00:00,17054.59010550245,0.0,217,2020-11-26 18:00:00,16531.792355544723,0.0,9.0186728511718,0.03065437203260914,Short,Closed,108
109,109,0,0.01606016183126239,218,2020-12-16 02:00:00,19442.04906064868,0.0,219,2020-12-16 09:00:00,19516.68313110349,0.0,1.1986352496301151,0.003838796529213242,Long,Closed,109
110,110,0,0.011626895866115497,220,2020-12-27 18:00:00,27061.369463330448,0.0,221,2020-12-28 02:00:00,27084.92814447353,0.0,0.2739143323936446,0.0008705650013391305,Long,Closed,110
111,111,0,0.008148725848787826,222,2021-01-15 09:00:00,38679.36647498018,0.0,223,2021-01-15 10:00:00,38441.94343376852,0.0,-1.9346952730193152,-0.0061382350035449245,Long,Closed,111
112,112,0,0.008098398131190702,223,2021-01-15 10:00:00,38441.94343376852,0.0,224,2021-01-15 15:00:00,35610.61173752075,0.0,22.929251317674016,0.07365214771531699,Short,Closed,112
